name;date;distance;deniv;time;category_id;runner_id
Marathon d'Aubigny;1997-04-20;42,2;;03:45:00;3;1
Marathon de New York;1997-11-02;42,2;;03:55:53;3;1
Marathon de la Rochelle;2001-11-25;42,2;;03:46:42;3;1
Marathon de la Rochelle;2004-11-28;42,2;;03:38:24;3;1
Marathon de New York;2006-11-05;42,2;;03:49:07;3;1
Trail des Aiguilles Rouges;2007-11-30;50;3500;11:30:03;1;1
Trail de la Vallée de Chevreuse;2008-04-06;51;2000;09:39:39;1;1
Trail des Aiguilles Rouges;2008-09-28;56;4600;14:52:44;1;1
Trail des Aiguilles Rouges;2009-09-01;54;3600;13:09:27;1;1
Trail des Cerfs;2011-05-15;35;580;03:37:55;1;1
Trail des Aiguilles Rouges ;2011-09-25;50;4151;12:25:03;1;1
Trail des Sept Hameaux;2011-10-23;27;700;02:48:32;1;1
Route des 4 Châteaux;2011-11-20;18;;01:28:35;1;1
Semi-Marathon de Rambouillet;2012-03-11;21,1;;01:45:24;4;1
Trail des Cerfs;2012-05-13;35;580;03:21:04;1;1
Trail des Sept Hameaux;2012-10-28;27;700;02:47:23;1;1
La Route des 4 Châteaux;2012-11-25;16,6;;01:20:00;1;1
Trail des Lavoirs;2013-04-21;44;950;05:29:16;1;1
Trail des Cerfs;2013-05-26;50;760;05:48:58;1;1
Marathon du Mont Blanc;2013-06-30;42;2511;07:14:59;1;1
CCC (Ultra Trail du Mont-Blanc);2013-08-31;101;6000;25:42:14;2;1
Eco Trail de Gif sur Yvette;2013-10-13;18;250;01:29:04;1;1
Trail des 7 hameaux;2013-10-20;27;500;02:51:46;1;1
Route des 4 Chateaux;2013-11-24;16,6;200;01:20:40;1;1
La petite Origole;2013-12-08;25;300;02:32:58;1;1
Saintélyon;2015-12-06;72;1730;11:13:08;2;1
Marathon du Mont Blanc;2016-06-26;42;2730;07:25:29;1;1
Trail des Mélèzes du Mercantour;2016-07-24;46;2800;07:09:01;1;1
SaintéLyonULTRA;2016-12-03;72;2050;12:11:44;2;1
Trail d'Èze;2017-02-26;19;1000;02:32:21;1;1
Trail des Balcons d'Azur;2017-04-23;47;2180;07:19:09;1;1
Grasse Running Days;2017-06-04;34;1600;05:33:09;1;1
ValbergTrail;2017-07-02;47;2800;08:32:17;1;1
CCC (Ultra Trail du Mont-Blanc);2017-09-01;101;6100;26:06:23;2;1
Hivernale des Templiers;2017-12-03;35;1790;05:25:23;1;1
Trans AubracULTRA;2018-04-21;107;3480;19:03:32;2;1
UTCAM - Ultra-Trail Côte d'Azur MercantourULTRA;2018-06-15;90;6000;24:33:01;2;1
Trail des Sommets de Caussols;2018-07-22;29;860;03:43:54;1;1
TDS (Ultra Trail du Mont-Blanc);2018-08-29;119;6900;31:18:35;2;1
Trail de Gorbio;2018-10-14;42;2900;07:44:58;1;1
Hivernale des TempliersULTRA;2018-12-01;64;2170;10:42:49;1;1
Trail des Merveilles (06);2019-03-03;28;1900;05:28:34;1;1
Trail des Balcons d'AzurULTRA;2019-04-27;80;3500;13:29:06;2;1
UTCAM - Ultra-Trail Côte d'Azur MercantourULTRA;2019-06-14;108;7040;29:05:58;2;1
ValbergTrail;2019-06-30;15;800;01:53:26;1;1
X Trail Corrèze DordogneULTRA;2019-09-21;100;4000;19:23:56;2;1
Alpin Trail de Pichauris;2019-11-11;30;1670;05:10:35;1;1